"","Name","Region","State.Abbreviation","County.FIPS.Code","Population","Premature.death","Life.expectancy","Child.mortality","Poor.or.fair.health","Unemployment","Income.inequality","Median.income","Homeownership","Food.insecurity","Severe.housing.problems","School.funding.adequacy","High.school.completion","Reading.scores","Free.or.reduced.lunch.eligibility","Adult.smoking","Excessive.drinking","Physical.inactivity","Adult.obesity","Uninsured","Uninsured.children","Primary.care.physicians","Not.proficient.in.English","Rural"
"3021","Mineral County","South","WV",57,26722,9425.055024,75.50680808,5140667.352,22.7,7.5598008,3.750296409,50300,78.4921369,12.6,5.6772463,255648.5,92.4454306,2.872833634,46.2628236,23,16.1137856,32.9,39.7,6.8094911,2.8849688,0.000297752,1.173032,64.593081
"3022","Mingo County","South","WV",59,22951,16131.25313,70.06736603,7449122.493,31.7,14.2524046,5.812227074,32955,71.4763122,20.5,11.095636,134442.9,76.614383,2.967809289,63.2445521,29.5,13.2065955,38.1,47.4,9.7308713,3.2895988,0.000170765,0.0357638,89.7388129
"3023","Monongalia County","South","WV",61,106819,6419.658546,79.26395939,4196634.01,21.2,6.3483054,6.144884802,55836,58.2059503,11.2,17.7454639,598259,92.8106741,3.199149541,40.0460005,20.3,17.7087953,26.2,39.9,6.9099027,3.1469702,0.001467636,0.3821328,26.862739
"3024","Monroe County","South","WV",63,13229,8558.653167,76.46545266,7300476.597,25.6,7.0899819,3.581776681,46879,78.1295488,13.4,9.3994778,309718.1,87.3584142,2.653352718,47.8848414,25.6,16.3066446,32.2,41.1,10.4056258,4.418429,0.000376648,0.4087408,88.5202192
"3025","Morgan County","South","WV",65,17873,10842.94235,75.51322823,7316716.258,23.3,6.0392251,3.322160334,57432,84.2084168,8.2,12.4214934,329699.7,88.1406436,2.593409726,48.596882,24,15.5937344,29.8,38.6,9.8496019,4.5371498,0.000503243,0.0586098,100
"3026","Nicholas County","South","WV",67,24340,11104.27503,74.76090577,4944375.773,25,10.2810574,4.382650839,42725,78.8715953,14.1,8.930277,313835.4,88.2757104,2.81565667,53.632361,26.3,13.775075,31.2,39.3,8.7815059,3.660924,0.000857283,0,87.1573972
"3027","Ohio County","South","WV",69,41182,10875.18152,74.71677689,3448816.429,21,8.4348549,5.848787447,41312,67.5611452,10.8,9.481268,611988.1,92.8040713,3.148594101,43.0442209,21.8,17.3495955,28.5,37.7,6.6721392,2.8973,0.001666224,0.5310982,23.0925005
"3028","Pendleton County","South","WV",71,6932,9504.54464,76.7154458,7033819.364,26,4.8787062,3.757432958,47167,82.1540388,11.5,8.2408875,467363.3,80.7814545,2.795040776,59.0277778,25.5,14.5698632,32.7,41.2,9.7742846,4.5066045,0.000430478,0.2856713,100
"3029","Pleasants County","South","WV",73,7438,6759.144928,76.5682495,6902970.604,23.4,11.1397059,4.106534036,55313,83.8766832,11.7,8.5365854,506490.5,89.0022676,3.11330216,40.7678245,25.4,15.7078317,31.8,39.9,5.4875788,2.4356298,0.000134048,0.2815712,54.4641683
"3030","Pocahontas County","South","WV",75,8190,12861.96706,75.25677316,6683081.252,26.5,9.2500653,4.461474316,41173,84.2929011,14.3,6.1452514,410230.4,84.5530987,2.715673196,55.9063137,26.7,14.875902,33.5,40,8.6746155,3.8167939,0.000363769,0,100
"3031","Preston County","South","WV",77,33380,9347.626385,76.3940993,5851603.339,23.9,7.2850242,5.16201337,51757,81.2550282,11,10.2543399,182179.6,86.5279387,2.703239315,47.0574818,24.8,15.340551,31.5,42.7,8.4653305,3.4562568,0.000388849,0.4070132,90.4504773
"3032","Putnam County","South","WV",79,56428,8712.772887,76.23607073,4190780.283,19.7,7.4039882,4.277515555,69175,82.3591777,8.4,9.2314793,494420.2,92.3492462,3.324777092,45.8131196,20.7,14.5823753,27.2,39,5.870322,2.5542686,0.001027458,0.1845913,35.7838013
